hp,value,time
"[10.0, 0.75, 0.1]",13,0.013051
"[10.0, 0.75, 0.1]",40,0.012852
"[10.0, 0.75, 0.1]",40,0.012794
"[10.0, 0.75, 0.1]",39,0.012766
"[10.0, 0.75, 0.1]",82,0.011354
"[10.0, 0.75, 0.1]",68,0.010937
"[10.0, 0.75, 0.1]",111,0.012942
"[10.0, 0.75, 0.1]",91,0.011231
"[10.0, 0.75, 0.1]",8970005,0.00672
"[10.0, 0.75, 0.1]",9837639,0.006412
"[10.0, 0.75, 0.2]",13,0.013515
"[10.0, 0.75, 0.2]",40,0.013115
"[10.0, 0.75, 0.2]",40,0.01341
"[10.0, 0.75, 0.2]",40,0.01337
"[10.0, 0.75, 0.2]",77,0.011115
"[10.0, 0.75, 0.2]",65,0.011199
"[10.0, 0.75, 0.2]",111,0.013304
"[10.0, 0.75, 0.2]",90,0.011608
"[10.0, 0.75, 0.2]",9042512,0.006981
"[10.0, 0.75, 0.2]",9720825,0.006456
"[10.0, 0.75, 0.3]",13,0.013977
"[10.0, 0.75, 0.3]",39,0.013682
"[10.0, 0.75, 0.3]",40,0.013466
"[10.0, 0.75, 0.3]",40,0.013239
"[10.0, 0.75, 0.3]",80,0.011348
"[10.0, 0.75, 0.3]",68,0.01159
"[10.0, 0.75, 0.3]",111,0.013519
"[10.0, 0.75, 0.3]",91,0.011824
"[10.0, 0.75, 0.3]",9060762,0.006913
"[10.0, 0.75, 0.3]",9867876,0.006643
"[10.0, 0.85, 0.1]",13,0.01339
"[10.0, 0.85, 0.1]",39,0.01311
"[10.0, 0.85, 0.1]",40,0.012994
"[10.0, 0.85, 0.1]",40,0.013257
"[10.0, 0.85, 0.1]",78,0.011128
"[10.0, 0.85, 0.1]",67,0.011139
"[10.0, 0.85, 0.1]",116,0.012946
"[10.0, 0.85, 0.1]",89,0.011557
"[10.0, 0.85, 0.1]",9187018,0.006415
"[10.0, 0.85, 0.1]",9555766,0.00646
"[10.0, 0.85, 0.2]",13,0.013668
"[10.0, 0.85, 0.2]",40,0.013055
"[10.0, 0.85, 0.2]",39,0.013145
"[10.0, 0.85, 0.2]",40,0.013462
"[10.0, 0.85, 0.2]",76,0.0113
"[10.0, 0.85, 0.2]",69,0.011406
"[10.0, 0.85, 0.2]",116,0.013126
"[10.0, 0.85, 0.2]",90,0.011689
"[10.0, 0.85, 0.2]",9101462,0.006578
"[10.0, 0.85, 0.2]",9798780,0.006426
"[10.0, 0.85, 0.3]",13,0.013744
"[10.0, 0.85, 0.3]",40,0.013297
"[10.0, 0.85, 0.3]",39,0.013814
"[10.0, 0.85, 0.3]",40,0.013772
"[10.0, 0.85, 0.3]",82,0.011475
"[10.0, 0.85, 0.3]",67,0.01156
"[10.0, 0.85, 0.3]",111,0.013847
"[10.0, 0.85, 0.3]",91,0.011883
"[10.0, 0.85, 0.3]",9090210,0.006763
"[10.0, 0.85, 0.3]",9720839,0.006697
"[10.0, 0.95, 0.1]",13,0.013244
"[10.0, 0.95, 0.1]",38,0.013231
"[10.0, 0.95, 0.1]",39,0.013021
"[10.0, 0.95, 0.1]",40,0.013269
"[10.0, 0.95, 0.1]",87,0.011263
"[10.0, 0.95, 0.1]",74,0.011331
"[10.0, 0.95, 0.1]",116,0.01327
"[10.0, 0.95, 0.1]",91,0.011644
"[10.0, 0.95, 0.1]",9046020,0.006253
"[10.0, 0.95, 0.1]",9765984,0.006558
"[10.0, 0.95, 0.2]",13,0.013829
"[10.0, 0.95, 0.2]",40,0.013026
"[10.0, 0.95, 0.2]",40,0.013519
"[10.0, 0.95, 0.2]",39,0.013954
"[10.0, 0.95, 0.2]",75,0.011394
"[10.0, 0.95, 0.2]",76,0.011302
"[10.0, 0.95, 0.2]",111,0.013682
"[10.0, 0.95, 0.2]",90,0.011732
"[10.0, 0.95, 0.2]",9145280,0.006648
"[10.0, 0.95, 0.2]",9436682,0.006665
"[10.0, 0.95, 0.3]",13,0.013424
"[10.0, 0.95, 0.3]",40,0.013588
"[10.0, 0.95, 0.3]",40,0.013985
"[10.0, 0.95, 0.3]",39,0.013699
"[10.0, 0.95, 0.3]",81,0.011687
"[10.0, 0.95, 0.3]",74,0.011564
"[10.0, 0.95, 0.3]",111,0.013807
"[10.0, 0.95, 0.3]",90,0.012082
"[10.0, 0.95, 0.3]",9034066,0.006717
"[10.0, 0.95, 0.3]",9645077,0.006901
"[20.0, 0.75, 0.1]",13,0.028249
"[20.0, 0.75, 0.1]",40,0.027808
"[20.0, 0.75, 0.1]",40,0.027876
"[20.0, 0.75, 0.1]",40,0.027568
"[20.0, 0.75, 0.1]",82,0.023826
"[20.0, 0.75, 0.1]",66,0.023159
"[20.0, 0.75, 0.1]",111,0.027713
"[20.0, 0.75, 0.1]",92,0.024094
"[20.0, 0.75, 0.1]",9148924,0.012942
"[20.0, 0.75, 0.1]",9707651,0.012363
"[20.0, 0.75, 0.2]",13,0.028411
"[20.0, 0.75, 0.2]",40,0.027901
"[20.0, 0.75, 0.2]",39,0.027974
"[20.0, 0.75, 0.2]",40,0.028563
"[20.0, 0.75, 0.2]",79,0.024105
"[20.0, 0.75, 0.2]",75,0.02402
"[20.0, 0.75, 0.2]",111,0.028195
"[20.0, 0.75, 0.2]",91,0.02443
"[20.0, 0.75, 0.2]",9138344,0.013095
"[20.0, 0.75, 0.2]",9743082,0.013301
"[20.0, 0.75, 0.3]",13,0.028987
"[20.0, 0.75, 0.3]",40,0.02898
"[20.0, 0.75, 0.3]",40,0.028441
"[20.0, 0.75, 0.3]",40,0.028744
"[20.0, 0.75, 0.3]",78,0.02454
"[20.0, 0.75, 0.3]",69,0.024381
"[20.0, 0.75, 0.3]",116,0.028862
"[20.0, 0.75, 0.3]",91,0.025116
"[20.0, 0.75, 0.3]",9123301,0.013682
"[20.0, 0.75, 0.3]",9710293,0.013554
"[20.0, 0.85, 0.1]",13,0.028175
"[20.0, 0.85, 0.1]",40,0.027932
"[20.0, 0.85, 0.1]",40,0.027802
"[20.0, 0.85, 0.1]",40,0.028578
"[20.0, 0.85, 0.1]",78,0.023593
"[20.0, 0.85, 0.1]",71,0.023664
"[20.0, 0.85, 0.1]",111,0.027633
"[20.0, 0.85, 0.1]",92,0.024855
