hp,value,time
"[2.0, 50.0]",11,0.002477
"[2.0, 50.0]",41,0.007916
"[2.0, 50.0]",42,0.008719
"[2.0, 50.0]",83,0.027559
"[2.0, 50.0]",113,0.00766
"[2.0, 50.0]",115,0.008418
"[2.0, 50.0]",108,0.001766
"[2.0, 50.0]",127,0.018993
"[2.0, 50.0]",11382408,121.152916
"[2.0, 50.0]",33118681,120.000045
"[2.0, 100.0]",11,0.004965
"[2.0, 100.0]",41,0.015919
"[2.0, 100.0]",42,0.017062
"[2.0, 100.0]",83,0.053824
"[2.0, 100.0]",113,0.015681
"[2.0, 100.0]",115,0.015608
"[2.0, 100.0]",108,0.003689
"[2.0, 100.0]",127,0.038321
"[2.0, 100.0]",11385046,122.21862
"[2.0, 100.0]",33117000,140.744865
"[2.0, 200.0]",11,0.009635
"[2.0, 200.0]",41,0.031227
"[2.0, 200.0]",42,0.032913
"[2.0, 200.0]",83,0.105746
"[2.0, 200.0]",113,0.031043
"[2.0, 200.0]",115,0.030903
"[2.0, 200.0]",108,0.007029
"[2.0, 200.0]",127,0.07413
"[2.0, 200.0]",11382640,122.711535
"[2.0, 200.0]",33118308,139.604667
"[2.0, 350.0]",11,0.017135
"[2.0, 350.0]",41,0.055411
"[2.0, 350.0]",42,0.056963
"[2.0, 350.0]",83,0.18377
"[2.0, 350.0]",113,0.053819
"[2.0, 350.0]",115,0.051877
"[2.0, 350.0]",108,0.012224
"[2.0, 350.0]",127,0.128809
"[2.0, 350.0]",11381951,120.000057
"[2.0, 350.0]",33117850,136.329625
"[2.0, 500.0]",11,0.023791
"[2.0, 500.0]",41,0.078105
"[2.0, 500.0]",42,0.082088
"[2.0, 500.0]",83,0.258917
"[2.0, 500.0]",113,0.07418
"[2.0, 500.0]",115,0.074799
"[2.0, 500.0]",108,0.017512
"[2.0, 500.0]",127,0.183989
"[2.0, 500.0]",11380541,122.856048
"[2.0, 500.0]",33115272,120.000056
"[5.0, 50.0]",11,0.002477
"[5.0, 50.0]",41,0.009624
"[5.0, 50.0]",41,0.011545
"[5.0, 50.0]",84,0.033106
"[5.0, 50.0]",113,0.010428
"[5.0, 50.0]",115,0.010324
"[5.0, 50.0]",108,0.002003
"[5.0, 50.0]",127,0.024191
"[5.0, 50.0]",10832010,120.000111
"[5.0, 50.0]",32990830,121.040071
"[5.0, 100.0]",11,0.005081
"[5.0, 100.0]",42,0.019182
"[5.0, 100.0]",42,0.022883
"[5.0, 100.0]",84,0.068353
"[5.0, 100.0]",113,0.021851
"[5.0, 100.0]",115,0.022333
"[5.0, 100.0]",108,0.004118
"[5.0, 100.0]",127,0.048845
"[5.0, 100.0]",10832864,120.000061
"[5.0, 100.0]",32989816,120.000058
"[5.0, 200.0]",11,0.010647
"[5.0, 200.0]",42,0.038795
"[5.0, 200.0]",42,0.045487
"[5.0, 200.0]",86,0.135527
"[5.0, 200.0]",113,0.044462
"[5.0, 200.0]",115,0.042165
"[5.0, 200.0]",108,0.007751
"[5.0, 200.0]",127,0.097486
"[5.0, 200.0]",10830729,120.000138
"[5.0, 200.0]",32989385,121.014451
"[5.0, 350.0]",11,0.019201
"[5.0, 350.0]",42,0.068386
"[5.0, 350.0]",42,0.081666
"[5.0, 350.0]",86,0.245451
"[5.0, 350.0]",113,0.076297
"[5.0, 350.0]",115,0.075754
"[5.0, 350.0]",108,0.014112
"[5.0, 350.0]",127,0.171234
"[5.0, 350.0]",10832919,120.000092
"[5.0, 350.0]",32990031,123.588237
"[5.0, 500.0]",11,0.025622
"[5.0, 500.0]",42,0.094356
"[5.0, 500.0]",42,0.111121
"[5.0, 500.0]",87,0.332604
"[5.0, 500.0]",113,0.109136
"[5.0, 500.0]",115,0.108579
"[5.0, 500.0]",108,0.02027
"[5.0, 500.0]",127,0.238514
"[5.0, 500.0]",10831557,120.000067
"[5.0, 500.0]",32990653,120.000032
"[10.0, 50.0]",11,0.002486
"[10.0, 50.0]",42,0.009138
"[10.0, 50.0]",41,0.013314
"[10.0, 50.0]",86,0.03844
"[10.0, 50.0]",113,0.011611
"[10.0, 50.0]",114,0.012415
"[10.0, 50.0]",108,0.001989
"[10.0, 50.0]",127,0.032029
"[10.0, 50.0]",10715150,120.000099
"[10.0, 50.0]",0,120.000092
"[10.0, 100.0]",11,0.005287
"[10.0, 100.0]",42,0.019769
"[10.0, 100.0]",42,0.026697
"[10.0, 100.0]",84,0.08094
"[10.0, 100.0]",113,0.026928
"[10.0, 100.0]",115,0.029509
"[10.0, 100.0]",108,0.004117
"[10.0, 100.0]",126,0.073737
"[10.0, 100.0]",10714050,120.000089
"[10.0, 100.0]",0,120.000067
"[10.0, 200.0]",11,0.010007
"[10.0, 200.0]",42,0.038632
"[10.0, 200.0]",42,0.053894
"[10.0, 200.0]",86,0.151682
"[10.0, 200.0]",113,0.050539
"[10.0, 200.0]",115,0.049553
"[10.0, 200.0]",108,0.007587
"[10.0, 200.0]",127,0.131393
"[10.0, 200.0]",10715881,120.000052
"[10.0, 200.0]",0,120.000068
"[10.0, 350.0]",11,0.017582
"[10.0, 350.0]",42,0.063464
"[10.0, 350.0]",42,0.092416
"[10.0, 350.0]",87,0.25915
"[10.0, 350.0]",113,0.087276
"[10.0, 350.0]",115,0.084141
"[10.0, 350.0]",108,0.013262
"[10.0, 350.0]",127,0.2201
"[10.0, 350.0]",10713789,120.000026
"[10.0, 350.0]",0,120.000037
"[10.0, 500.0]",11,0.024249
"[10.0, 500.0]",42,0.091025
"[10.0, 500.0]",42,0.1292
"[10.0, 500.0]",87,0.368999
"[10.0, 500.0]",113,0.120231
"[10.0, 500.0]",115,0.118419
"[10.0, 500.0]",108,0.019048
"[10.0, 500.0]",127,0.319388
"[10.0, 500.0]",10717680,120.000092
"[10.0, 500.0]",0,120.000086
"[15.0, 50.0]",11,0.002565
"[15.0, 50.0]",42,0.009147
"[15.0, 50.0]",42,0.013116
"[15.0, 50.0]",86,0.03641
"[15.0, 50.0]",113,0.012459
"[15.0, 50.0]",115,0.01158
"[15.0, 50.0]",108,0.001918
"[15.0, 50.0]",127,0.037675
"[15.0, 50.0]",10501495,120.000125
"[15.0, 50.0]",0,120.000042
"[15.0, 100.0]",11,0.004903
"[15.0, 100.0]",42,0.018336
"[15.0, 100.0]",41,0.025684
"[15.0, 100.0]",84,0.074029
"[15.0, 100.0]",113,0.024386
"[15.0, 100.0]",115,0.023237
"[15.0, 100.0]",108,0.003683
"[15.0, 100.0]",126,0.078188
"[15.0, 100.0]",10503936,120.000031
"[15.0, 100.0]",0,120.000058
"[15.0, 200.0]",11,0.009632
"[15.0, 200.0]",42,0.036587
"[15.0, 200.0]",42,0.050734
"[15.0, 200.0]",85,0.148109
"[15.0, 200.0]",113,0.047953
"[15.0, 200.0]",115,0.047505
"[15.0, 200.0]",108,0.007728
"[15.0, 200.0]",126,0.14051
"[15.0, 200.0]",10502509,120.000064
"[15.0, 200.0]",0,120.000044
"[15.0, 350.0]",11,0.017127
"[15.0, 350.0]",42,0.063668
"[15.0, 350.0]",42,0.091293
"[15.0, 350.0]",87,0.255878
"[15.0, 350.0]",113,0.086712
"[15.0, 350.0]",115,0.083264
"[15.0, 350.0]",108,0.012961
"[15.0, 350.0]",127,0.258262
"[15.0, 350.0]",10504942,120.000091
"[15.0, 350.0]",0,120.000107
"[15.0, 500.0]",11,0.024484
"[15.0, 500.0]",42,0.090978
"[15.0, 500.0]",42,0.129654
"[15.0, 500.0]",87,0.368663
"[15.0, 500.0]",113,0.120015
"[15.0, 500.0]",115,0.117919
"[15.0, 500.0]",108,0.019187
"[15.0, 500.0]",127,0.370198
"[15.0, 500.0]",10502926,120.00007
"[15.0, 500.0]",0,120.00004
