hp,value,time
"[500.0, 0.95, 350.0]",13,120.008617
"[500.0, 0.95, 350.0]",42,120.023682
"[500.0, 0.95, 350.0]",46,120.023862
"[500.0, 0.95, 350.0]",116,120.028946
"[500.0, 0.95, 350.0]",114,120.048681
"[500.0, 0.95, 350.0]",115,120.017294
"[500.0, 0.95, 350.0]",116,120.013158
"[500.0, 0.95, 350.0]",133,120.020885
"[500.0, 0.95, 350.0]",115164,6.945349
"[500.0, 0.95, 350.0]",84388,4.733971
"[500.0, 0.95, 500.0]",13,120.005018
"[500.0, 0.95, 500.0]",43,120.011943
"[500.0, 0.95, 500.0]",45,120.041394
"[500.0, 0.95, 500.0]",92,120.022433
"[500.0, 0.95, 500.0]",116,120.025398
"[500.0, 0.95, 500.0]",113,120.015318
"[500.0, 0.95, 500.0]",116,120.011014
"[500.0, 0.95, 500.0]",130,120.025702
"[500.0, 0.95, 500.0]",165255,9.869701
"[500.0, 0.95, 500.0]",118806,7.409015
"[500.0, 0.85, 350.0]",13,120.008453
"[500.0, 0.85, 350.0]",42,120.023581
"[500.0, 0.85, 350.0]",46,120.017684
"[500.0, 0.85, 350.0]",116,97.214967
"[500.0, 0.85, 350.0]",118,120.021225
"[500.0, 0.85, 350.0]",114,120.046259
"[500.0, 0.85, 350.0]",116,120.011697
"[500.0, 0.85, 350.0]",118,120.013272
"[500.0, 0.85, 350.0]",38341,2.033293
"[500.0, 0.85, 350.0]",25531,1.744951
"[500.0, 0.85, 500.0]",13,120.021104
"[500.0, 0.85, 500.0]",43,120.005922
"[500.0, 0.85, 500.0]",46,120.023562
"[500.0, 0.85, 500.0]",116,120.014738
"[500.0, 0.85, 500.0]",118,120.013667
"[500.0, 0.85, 500.0]",115,120.029422
"[500.0, 0.85, 500.0]",116,120.010359
"[500.0, 0.85, 500.0]",128,120.066034
"[500.0, 0.85, 500.0]",51450,3.275587
"[500.0, 0.85, 500.0]",38410,2.219699
"[500.0, 0.7, 350.0]",13,27.406694
"[500.0, 0.7, 350.0]",42,56.46037
"[500.0, 0.7, 350.0]",46,32.859282
"[500.0, 0.7, 350.0]",63,36.343955
"[500.0, 0.7, 350.0]",118,24.820472
"[500.0, 0.7, 350.0]",115,63.185044
"[500.0, 0.7, 350.0]",116,25.220135
"[500.0, 0.7, 350.0]",125,120.029504
"[500.0, 0.7, 350.0]",17787,0.907072
"[500.0, 0.7, 350.0]",12920,0.640999
"[500.0, 0.7, 500.0]",13,58.923354
"[500.0, 0.7, 500.0]",42,116.116974
"[500.0, 0.7, 500.0]",44,120.011558
"[500.0, 0.7, 500.0]",90,33.41446
"[500.0, 0.7, 500.0]",118,120.044784
"[500.0, 0.7, 500.0]",113,106.610864
"[500.0, 0.7, 500.0]",116,51.65051
"[500.0, 0.7, 500.0]",134,103.809903
"[500.0, 0.7, 500.0]",23359,1.4985
"[500.0, 0.7, 500.0]",17740,1.041212
"[100.0, 0.95, 350.0]",13,120.010872
"[100.0, 0.95, 350.0]",43,120.021092
"[100.0, 0.95, 350.0]",44,120.032462
"[100.0, 0.95, 350.0]",56,120.039159
"[100.0, 0.95, 350.0]",118,120.020376
"[100.0, 0.95, 350.0]",115,120.049303
"[100.0, 0.95, 350.0]",116,120.010925
"[100.0, 0.95, 350.0]",127,120.039772
"[100.0, 0.95, 350.0]",85925,5.134062
"[100.0, 0.95, 350.0]",60144,3.623742
"[100.0, 0.95, 500.0]",13,120.002713
"[100.0, 0.95, 500.0]",42,120.01069
"[100.0, 0.95, 500.0]",46,120.034165
"[100.0, 0.95, 500.0]",116,120.031254
"[100.0, 0.95, 500.0]",116,120.047061
"[100.0, 0.95, 500.0]",115,120.024104
"[100.0, 0.95, 500.0]",116,120.010941
"[100.0, 0.95, 500.0]",128,120.036106
"[100.0, 0.95, 500.0]",122930,6.948348
"[100.0, 0.95, 500.0]",88117,5.008676
"[100.0, 0.85, 350.0]",13,74.565489
"[100.0, 0.85, 350.0]",42,58.8995
"[100.0, 0.85, 350.0]",46,120.030367
"[100.0, 0.85, 350.0]",116,31.75437
"[100.0, 0.85, 350.0]",118,85.561737
"[100.0, 0.85, 350.0]",115,120.021327
"[100.0, 0.85, 350.0]",116,67.038438
"[100.0, 0.85, 350.0]",129,120.046919
"[100.0, 0.85, 350.0]",28462,1.678755
"[100.0, 0.85, 350.0]",18941,1.245339
"[100.0, 0.85, 500.0]",13,120.014815
"[100.0, 0.85, 500.0]",42,120.010822
"[100.0, 0.85, 500.0]",46,120.032839
"[100.0, 0.85, 500.0]",116,91.876737
"[100.0, 0.85, 500.0]",118,120.024989
"[100.0, 0.85, 500.0]",114,120.031524
"[100.0, 0.85, 500.0]",116,120.019942
"[100.0, 0.85, 500.0]",126,120.069449
"[100.0, 0.85, 500.0]",41325,2.364909
"[100.0, 0.85, 500.0]",27338,1.629432
"[100.0, 0.7, 350.0]",13,14.143751
"[100.0, 0.7, 350.0]",43,18.706371
"[100.0, 0.7, 350.0]",46,26.164221
"[100.0, 0.7, 350.0]",116,4.38332
"[100.0, 0.7, 350.0]",114,38.650635
"[100.0, 0.7, 350.0]",114,38.544675
"[100.0, 0.7, 350.0]",116,12.967241
"[100.0, 0.7, 350.0]",127,35.14513
"[100.0, 0.7, 350.0]",13152,0.638587
"[100.0, 0.7, 350.0]",8905,0.500862
"[100.0, 0.7, 500.0]",13,29.51047
"[100.0, 0.7, 500.0]",42,59.868566
"[100.0, 0.7, 500.0]",45,40.972647
"[100.0, 0.7, 500.0]",80,46.030347
"[100.0, 0.7, 500.0]",117,89.875548
"[100.0, 0.7, 500.0]",112,120.047157
"[100.0, 0.7, 500.0]",116,26.718787
"[100.0, 0.7, 500.0]",129,108.580911
"[100.0, 0.7, 500.0]",17206,1.009597
"[100.0, 0.7, 500.0]",11723,0.741238
"[50.0, 0.95, 350.0]",13,120.017987
"[50.0, 0.95, 350.0]",42,120.005593
"[50.0, 0.95, 350.0]",44,120.033271
"[50.0, 0.95, 350.0]",116,120.024348
"[50.0, 0.95, 350.0]",118,120.006347
"[50.0, 0.95, 350.0]",115,120.038666
"[50.0, 0.95, 350.0]",116,120.010441
"[50.0, 0.95, 350.0]",127,120.065058
"[50.0, 0.95, 350.0]",72385,4.4977
"[50.0, 0.95, 350.0]",53528,3.041663
"[50.0, 0.95, 500.0]",13,120.00602
"[50.0, 0.95, 500.0]",43,120.023364
"[50.0, 0.95, 500.0]",46,120.013418
"[50.0, 0.95, 500.0]",116,120.026687
"[50.0, 0.95, 500.0]",116,120.042384
"[50.0, 0.95, 500.0]",115,120.032973
"[50.0, 0.95, 500.0]",116,120.023295
"[50.0, 0.95, 500.0]",128,120.038685
"[50.0, 0.95, 500.0]",106842,5.933563
"[50.0, 0.95, 500.0]",73927,4.584697
"[50.0, 0.85, 350.0]",13,55.835505
"[50.0, 0.85, 350.0]",42,74.622813
"[50.0, 0.85, 350.0]",45,120.039132
"[50.0, 0.85, 350.0]",116,20.404511
"[50.0, 0.85, 350.0]",117,98.539751
"[50.0, 0.85, 350.0]",114,112.969996
"[50.0, 0.85, 350.0]",116,52.611048
"[50.0, 0.85, 350.0]",119,120.06075
"[50.0, 0.85, 350.0]",22926,1.405893
"[50.0, 0.85, 350.0]",17288,0.953033
"[50.0, 0.85, 500.0]",13,120.003703
"[50.0, 0.85, 500.0]",43,111.415115
"[50.0, 0.85, 500.0]",46,120.028457
"[50.0, 0.85, 500.0]",109,69.839935
"[50.0, 0.85, 500.0]",118,120.013651
"[50.0, 0.85, 500.0]",113,120.033202
"[50.0, 0.85, 500.0]",116,114.521855
"[50.0, 0.85, 500.0]",129,120.042114
"[50.0, 0.85, 500.0]",33146,2.194934
"[50.0, 0.85, 500.0]",22546,1.852609
"[50.0, 0.7, 350.0]",13,11.046392
"[50.0, 0.7, 350.0]",41,25.328825
"[50.0, 0.7, 350.0]",46,32.474685
"[50.0, 0.7, 350.0]",71,20.290385
"[50.0, 0.7, 350.0]",116,45.325498
"[50.0, 0.7, 350.0]",114,40.956344
"[50.0, 0.7, 350.0]",116,10.023366
"[50.0, 0.7, 350.0]",127,24.53552
"[50.0, 0.7, 350.0]",10350,0.681884
"[50.0, 0.7, 350.0]",7299,0.436024
"[50.0, 0.7, 500.0]",13,22.443408
"[50.0, 0.7, 500.0]",42,50.165666
"[50.0, 0.7, 500.0]",46,45.609066
"[50.0, 0.7, 500.0]",85,14.466599
"[50.0, 0.7, 500.0]",117,26.7628
"[50.0, 0.7, 500.0]",116,83.437901
"[50.0, 0.7, 500.0]",116,20.133436
"[50.0, 0.7, 500.0]",128,65.076521
"[50.0, 0.7, 500.0]",15305,0.847628
"[50.0, 0.7, 500.0]",10380,0.663937
