hp,value,time
[10.0],13,0.000453
[10.0],42,0.006477
[10.0],46,0.002378
[10.0],59,0.011324
[10.0],118,0.14438
[10.0],115,0.143027
[10.0],116,0.000294
[10.0],135,0.003438
[10.0],10886756,42.075638
[10.0],23226420,120.000099
[25.0],13,0.000449
[25.0],43,120.000029
[25.0],46,3.914552
[25.0],80,74.96833
[25.0],118,120.000038
[25.0],115,120.000039
[25.0],116,0.000297
[25.0],135,6.323405
[25.0],10886765,77.105301
[25.0],18505845,120.000065
[50.0],13,0.000453
[50.0],43,120.000044
[50.0],46,120.000031
[50.0],80,120.000027
[50.0],118,120.000044
[50.0],115,120.000031
[50.0],116,0.000295
[50.0],135,120.000068
[50.0],10886765,120.000029
[50.0],13931175,120.000123
[100.0],13,0.000465
[100.0],43,120.000051
[100.0],46,120.00003
[100.0],80,120.000055
[100.0],118,120.000042
[100.0],115,120.000039
[100.0],116,0.0003
[100.0],135,120.000044
[100.0],10886765,120.000093
[100.0],9215565,120.000105
