hp,value,time
"[10, 0.75, 0.1]",13,0.14335018600104377
"[10, 0.75, 0.1]",40,0.14256560699868714
"[10, 0.75, 0.1]",40,0.1685604410013184
"[10, 0.75, 0.1]",40,0.15125668200016662
"[10, 0.75, 0.1]",86,0.10887131200070144
"[10, 0.75, 0.1]",74,0.10164903400072944
"[10, 0.75, 0.1]",111,0.1171257890000561
"[10, 0.75, 0.1]",92,0.10637175999909232
"[10, 0.75, 0.1]",9109904,0.07122979899941129
"[10, 0.75, 0.1]",9726219,0.06984067600023991
"[10, 0.75, 0.2]",13,0.12569272400105547
"[10, 0.75, 0.2]",40,0.12146869600110222
"[10, 0.75, 0.2]",40,0.10935507099929964
"[10, 0.75, 0.2]",40,0.10733245499977784
"[10, 0.75, 0.2]",90,0.10656472300070163
"[10, 0.75, 0.2]",74,0.09021774900065793
"[10, 0.75, 0.2]",111,0.1396754500001407
"[10, 0.75, 0.2]",91,0.12099695899996732
"[10, 0.75, 0.2]",8996236,0.07655542900101864
"[10, 0.75, 0.2]",9772645,0.07660189600028389
"[10, 0.75, 0.3]",13,0.1590981669996836
"[10, 0.75, 0.3]",40,0.12429130500095198
"[10, 0.75, 0.3]",40,0.15013545299916586
"[10, 0.75, 0.3]",40,0.12596423600007256
"[10, 0.75, 0.3]",71,0.10662147699986235
"[10, 0.75, 0.3]",72,0.12234372799866833
"[10, 0.75, 0.3]",111,0.12006443599966587
"[10, 0.75, 0.3]",91,0.11923838099937711
"[10, 0.75, 0.3]",8970066,0.0762238850002177
"[10, 0.75, 0.3]",9563163,0.06568701800097188
"[10, 0.85, 0.1]",13,0.10850757099979091
"[10, 0.85, 0.1]",40,0.10862047699993127
"[10, 0.85, 0.1]",39,0.1231450120012596
"[10, 0.85, 0.1]",40,0.1323790509995888
"[10, 0.85, 0.1]",73,0.12176989100044011
"[10, 0.85, 0.1]",71,0.12069601499933924
"[10, 0.85, 0.1]",111,0.15301991699925566
"[10, 0.85, 0.1]",92,0.13132971699997142
"[10, 0.85, 0.1]",8972764,0.07299816299928352
"[10, 0.85, 0.1]",9718684,0.069242399000359
"[10, 0.85, 0.2]",13,0.14324121100071352
"[10, 0.85, 0.2]",39,0.14527930300027947
"[10, 0.85, 0.2]",40,0.13710737700057507
"[10, 0.85, 0.2]",39,0.1324191340008838
"[10, 0.85, 0.2]",75,0.10651176099963777
"[10, 0.85, 0.2]",69,0.1262438049998309
"[10, 0.85, 0.2]",111,0.11779877099979785
"[10, 0.85, 0.2]",92,0.13681968099990627
"[10, 0.85, 0.2]",9006992,0.07426674400085176
"[10, 0.85, 0.2]",9873005,0.07550331200036453
"[10, 0.85, 0.3]",13,0.1744947420011158
"[10, 0.85, 0.3]",39,0.1422802729994146
"[10, 0.85, 0.3]",40,0.12897254999916186
"[10, 0.85, 0.3]",40,0.11293321700031811
"[10, 0.85, 0.3]",79,0.08612139799879515
"[10, 0.85, 0.3]",67,0.1278891490001115
"[10, 0.85, 0.3]",116,0.1345170570002665
"[10, 0.85, 0.3]",91,0.12632479000058083
"[10, 0.85, 0.3]",8995481,0.05693758699999307
"[10, 0.85, 0.3]",9475877,0.061934569999721134
"[10, 0.95, 0.1]",13,0.10964075300034892
"[10, 0.95, 0.1]",40,0.12582930999997188
"[10, 0.95, 0.1]",40,0.14489673900061462
"[10, 0.95, 0.1]",39,0.14556640000046173
"[10, 0.95, 0.1]",83,0.1254872149984294
"[10, 0.95, 0.1]",68,0.11941496599865786
"[10, 0.95, 0.1]",116,0.13269505000062054
"[10, 0.95, 0.1]",91,0.14226566199977242
"[10, 0.95, 0.1]",9057949,0.0805940569989616
"[10, 0.95, 0.1]",9856233,0.08148718799930066
"[10, 0.95, 0.2]",13,0.1324591419997887
"[10, 0.95, 0.2]",40,0.11920649399871763
"[10, 0.95, 0.2]",40,0.15389541299919074
"[10, 0.95, 0.2]",40,0.11455925900008879
"[10, 0.95, 0.2]",79,0.08120406300076866
"[10, 0.95, 0.2]",66,0.11313894100021571
"[10, 0.95, 0.2]",116,0.13521621200015943
"[10, 0.95, 0.2]",92,0.12181327899997996
"[10, 0.95, 0.2]",9080964,0.04697079500147083
"[10, 0.95, 0.2]",9771163,0.05255656400004227
"[10, 0.95, 0.3]",13,0.11290642500171089
"[10, 0.95, 0.3]",40,0.10930350700073177
"[10, 0.95, 0.3]",40,0.1353943239992077
"[10, 0.95, 0.3]",40,0.10563795899906836
"[10, 0.95, 0.3]",78,0.11135574599938991
"[10, 0.95, 0.3]",73,0.11394310599825985
"[10, 0.95, 0.3]",111,0.11676061700018181
"[10, 0.95, 0.3]",90,0.11905466800089926
"[10, 0.95, 0.3]",9096474,0.07911760800016054
"[10, 0.95, 0.3]",9574393,0.07840087000113272
"[20, 0.75, 0.1]",13,0.2553725180005131
"[20, 0.75, 0.1]",40,0.21269258400025137
"[20, 0.75, 0.1]",40,0.25854666300074314
"[20, 0.75, 0.1]",40,0.2156243329991412
"[20, 0.75, 0.1]",82,0.18523095400087186
"[20, 0.75, 0.1]",71,0.15305675300078292
"[20, 0.75, 0.1]",111,0.18054825400031405
"[20, 0.75, 0.1]",89,0.1842608349998045
"[20, 0.75, 0.1]",9130264,0.089337825000257
"[20, 0.75, 0.1]",9823394,0.08722806200057676
"[20, 0.75, 0.2]",13,0.18316610700094316
"[20, 0.75, 0.2]",40,0.18194536500050162
"[20, 0.75, 0.2]",40,0.1854996330002905
"[20, 0.75, 0.2]",40,0.19309018999956606
"[20, 0.75, 0.2]",84,0.18646616200021526
"[20, 0.75, 0.2]",77,0.1594446009985404
"[20, 0.75, 0.2]",111,0.1941121320014645
"[20, 0.75, 0.2]",92,0.16415352699914365
"[20, 0.75, 0.2]",9126922,0.09206654199988407
"[20, 0.75, 0.2]",9721331,0.09532570100054727
"[20, 0.75, 0.3]",13,0.2014896979999321
"[20, 0.75, 0.3]",40,0.18275146700034384
"[20, 0.75, 0.3]",40,0.19326540300062334
"[20, 0.75, 0.3]",40,0.18703620299856993
"[20, 0.75, 0.3]",83,0.15685885699895152
"[20, 0.75, 0.3]",69,0.16990652200001932
"[20, 0.75, 0.3]",116,0.18702517400015495
"[20, 0.75, 0.3]",92,0.16323617400121293
"[20, 0.75, 0.3]",9167285,0.09723622000092291
"[20, 0.75, 0.3]",9949373,0.09475856999961252
"[20, 0.85, 0.1]",13,0.18484560300021258
"[20, 0.85, 0.1]",40,0.17792059800012794
"[20, 0.85, 0.1]",40,0.19265121100033866
"[20, 0.85, 0.1]",40,0.19975640499978908
"[20, 0.85, 0.1]",82,0.1759542630006763
"[20, 0.85, 0.1]",74,0.16356582099979278
"[20, 0.85, 0.1]",111,0.19828208400031144
"[20, 0.85, 0.1]",92,0.18773644099928788
"[20, 0.85, 0.1]",9141374,0.09697031500036246
"[20, 0.85, 0.1]",9647434,0.08934685500025807
"[20, 0.85, 0.2]",13,0.20582128000023658
"[20, 0.85, 0.2]",40,0.18003243299972382
"[20, 0.85, 0.2]",40,0.1824297490002209
"[20, 0.85, 0.2]",39,0.19175927100150147
"[20, 0.85, 0.2]",93,0.15925452199917345
"[20, 0.85, 0.2]",62,0.15766141099993547
"[20, 0.85, 0.2]",111,0.20582189900051162
"[20, 0.85, 0.2]",91,0.16549457799919765
"[20, 0.85, 0.2]",9161860,0.09341161900010775
"[20, 0.85, 0.2]",9764602,0.10601877699991746
"[20, 0.85, 0.3]",13,0.22427012099979038
"[20, 0.85, 0.3]",40,0.1872587489997386
