hp,value,time
"[10.0, 0.75, 0.1]",13,0.11405584600288421
"[10.0, 0.75, 0.1]",40,0.08325328299542889
"[10.0, 0.75, 0.1]",40,0.08644713900139323
"[10.0, 0.75, 0.1]",40,0.08799329100293107
"[10.0, 0.75, 0.1]",80,0.07481128899962641
"[10.0, 0.75, 0.1]",63,0.06690913200145587
"[10.0, 0.75, 0.1]",111,0.08511495499988087
"[10.0, 0.75, 0.1]",92,0.10338495400355896
"[10.0, 0.75, 0.1]",9001174,0.048435024997161236
"[10.0, 0.75, 0.1]",9587170,0.03993093000462977
"[10.0, 0.75, 0.2]",13,0.08858546100236708
"[10.0, 0.75, 0.2]",38,0.0920499049971113
"[10.0, 0.75, 0.2]",39,0.09687882999423891
"[10.0, 0.75, 0.2]",38,0.1038479519993416
"[10.0, 0.75, 0.2]",76,0.12474195300455904
"[10.0, 0.75, 0.2]",72,0.08599937599501573
"[10.0, 0.75, 0.2]",111,0.10271580499829724
"[10.0, 0.75, 0.2]",92,0.08237735099828569
"[10.0, 0.75, 0.2]",9096676,0.04249880999850575
"[10.0, 0.75, 0.2]",9680519,0.042996645999664906
"[10.0, 0.75, 0.3]",13,0.09385184100392507
"[10.0, 0.75, 0.3]",38,0.09828652400028659
"[10.0, 0.75, 0.3]",39,0.09656215299764881
"[10.0, 0.75, 0.3]",40,0.12240734599618008
"[10.0, 0.75, 0.3]",78,0.08658234500035178
"[10.0, 0.75, 0.3]",67,0.0804392470017774
"[10.0, 0.75, 0.3]",116,0.09355823700025212
"[10.0, 0.75, 0.3]",91,0.07886974100256339
"[10.0, 0.75, 0.3]",9072534,0.05012547899968922
"[10.0, 0.75, 0.3]",9629231,0.04782088999490952
"[10.0, 0.85, 0.1]",13,0.08837242499430431
"[10.0, 0.85, 0.1]",40,0.10473201699642232
"[10.0, 0.85, 0.1]",40,0.09551697899587452
"[10.0, 0.85, 0.1]",40,0.11699984600272728
"[10.0, 0.85, 0.1]",80,0.0760507629966014
"[10.0, 0.85, 0.1]",67,0.08033876999979839
"[10.0, 0.85, 0.1]",111,0.08954458200605586
"[10.0, 0.85, 0.1]",92,0.0794711010021274
"[10.0, 0.85, 0.1]",9166084,0.048296963002940174
"[10.0, 0.85, 0.1]",9703008,0.04111782999825664
"[10.0, 0.85, 0.2]",13,0.09054602199466899
"[10.0, 0.85, 0.2]",40,0.10420858300494729
"[10.0, 0.85, 0.2]",40,0.11196331300016027
"[10.0, 0.85, 0.2]",40,0.08872217099997215
"[10.0, 0.85, 0.2]",90,0.0808540050056763
"[10.0, 0.85, 0.2]",68,0.0795660610019695
"[10.0, 0.85, 0.2]",111,0.09037515099771554
"[10.0, 0.85, 0.2]",91,0.08053941399703035
"[10.0, 0.85, 0.2]",9055487,0.04640792399732163
"[10.0, 0.85, 0.2]",9779060,0.03989473899855511
"[10.0, 0.85, 0.3]",13,0.09371103300509276
"[10.0, 0.85, 0.3]",39,0.10276124400115805
"[10.0, 0.85, 0.3]",40,0.12247737400321057
"[10.0, 0.85, 0.3]",39,0.09658957100327825
"[10.0, 0.85, 0.3]",79,0.07835113799956162
"[10.0, 0.85, 0.3]",71,0.07816420499875676
"[10.0, 0.85, 0.3]",111,0.09403037100128131
"[10.0, 0.85, 0.3]",91,0.07961453600000823
"[10.0, 0.85, 0.3]",9109603,0.050176308999652974
"[10.0, 0.85, 0.3]",9794645,0.0535293310022098
"[10.0, 0.95, 0.1]",13,0.12999030300125014
"[10.0, 0.95, 0.1]",40,0.12050327800534433
"[10.0, 0.95, 0.1]",40,0.08860348400048679
"[10.0, 0.95, 0.1]",40,0.08910192600160372
"[10.0, 0.95, 0.1]",79,0.0772862539961352
"[10.0, 0.95, 0.1]",60,0.08115268599794945
"[10.0, 0.95, 0.1]",116,0.0931729660005658
"[10.0, 0.95, 0.1]",92,0.0778192640063935
"[10.0, 0.95, 0.1]",8914695,0.053090813002199866
"[10.0, 0.95, 0.1]",9699081,0.04151255900069373
"[10.0, 0.95, 0.2]",13,0.09578304100432433
"[10.0, 0.95, 0.2]",40,0.09290653800417203
"[10.0, 0.95, 0.2]",40,0.09325781300140079
"[10.0, 0.95, 0.2]",39,0.1194797939970158
"[10.0, 0.95, 0.2]",75,0.07863786700181663
"[10.0, 0.95, 0.2]",64,0.07862358899728861
"[10.0, 0.95, 0.2]",116,0.09453186100290623
"[10.0, 0.95, 0.2]",89,0.08059125200088602
"[10.0, 0.95, 0.2]",9126740,0.05423434100521263
"[10.0, 0.95, 0.2]",9921424,0.042018459003884345
"[10.0, 0.95, 0.3]",13,0.09492174800107023
"[10.0, 0.95, 0.3]",40,0.09667487000115216
"[10.0, 0.95, 0.3]",40,0.09268208599678474
"[10.0, 0.95, 0.3]",40,0.09540659000049345
"[10.0, 0.95, 0.3]",79,0.0774249769965536
"[10.0, 0.95, 0.3]",69,0.08129046300018672
"[10.0, 0.95, 0.3]",116,0.09168457399937324
"[10.0, 0.95, 0.3]",91,0.08209797000017716
"[10.0, 0.95, 0.3]",9161433,0.06142655199801084
"[10.0, 0.95, 0.3]",9607632,0.06123350599955302
"[20.0, 0.75, 0.1]",13,0.17710862399690086
"[20.0, 0.75, 0.1]",40,0.16969511600473197
"[20.0, 0.75, 0.1]",40,0.17956485499598784
"[20.0, 0.75, 0.1]",40,0.1719011179957306
"[20.0, 0.75, 0.1]",87,0.1566518219988211
"[20.0, 0.75, 0.1]",78,0.14614615900063654
"[20.0, 0.75, 0.1]",116,0.17673544399440289
"[20.0, 0.75, 0.1]",91,0.17124345499905758
"[20.0, 0.75, 0.1]",9168365,0.10465528400527546
"[20.0, 0.75, 0.1]",9648759,0.1202215309967869
"[20.0, 0.75, 0.2]",13,0.17776444299670402
"[20.0, 0.75, 0.2]",40,0.1909779370034812
"[20.0, 0.75, 0.2]",40,0.17257171500386903
"[20.0, 0.75, 0.2]",40,0.19853256400529062
"[20.0, 0.75, 0.2]",83,0.16105041000264464
"[20.0, 0.75, 0.2]",73,0.15038674300012644
"[20.0, 0.75, 0.2]",111,0.17543006099731429
"[20.0, 0.75, 0.2]",92,0.16100449499936076
"[20.0, 0.75, 0.2]",9104080,0.08877473599568475
"[20.0, 0.75, 0.2]",9872991,0.08767499800160294
"[20.0, 0.75, 0.3]",13,0.18495336300111376
"[20.0, 0.75, 0.3]",40,0.19347635099984473
"[20.0, 0.75, 0.3]",40,0.17979861499770777
"[20.0, 0.75, 0.3]",39,0.17951279400585918
"[20.0, 0.75, 0.3]",72,0.16201624400127912
"[20.0, 0.75, 0.3]",66,0.1531509120031842
"[20.0, 0.75, 0.3]",116,0.1833144900010666
"[20.0, 0.75, 0.3]",92,0.16113457499886863
"[20.0, 0.75, 0.3]",9080874,0.0885440700003528
"[20.0, 0.75, 0.3]",9816898,0.08817296999768587
"[20.0, 0.85, 0.1]",13,0.17618377200415125
"[20.0, 0.85, 0.1]",40,0.17507218699756777
"[20.0, 0.85, 0.1]",40,0.18114170899934834
"[20.0, 0.85, 0.1]",39,0.1959496410054271
"[20.0, 0.85, 0.1]",82,0.15884493000339717
"[20.0, 0.85, 0.1]",75,0.15561393000098178
"[20.0, 0.85, 0.1]",111,0.17263768600241747
"[20.0, 0.85, 0.1]",92,0.15375592200143728
"[20.0, 0.85, 0.1]",9279681,0.09116397600155324
"[20.0, 0.85, 0.1]",9743379,0.08188681799947517
"[20.0, 0.85, 0.2]",13,0.1858079160010675
"[20.0, 0.85, 0.2]",40,0.18342177299928153
"[20.0, 0.85, 0.2]",40,0.17957161700178403
"[20.0, 0.85, 0.2]",40,0.17987165700469632
"[20.0, 0.85, 0.2]",81,0.15178874100092798
"[20.0, 0.85, 0.2]",73,0.16203317300096387
"[20.0, 0.85, 0.2]",111,0.184888026000408
"[20.0, 0.85, 0.2]",92,0.15770358699955977
"[20.0, 0.85, 0.2]",9037642,0.08685469700139947
"[20.0, 0.85, 0.2]",9619827,0.11932339600025443
"[20.0, 0.85, 0.3]",13,0.18387981900013983
"[20.0, 0.85, 0.3]",40,0.17901189199619694
"[20.0, 0.85, 0.3]",40,0.19496218299900647
"[20.0, 0.85, 0.3]",40,0.18608334600139642
"[20.0, 0.85, 0.3]",81,0.15805779000220355
"[20.0, 0.85, 0.3]",71,0.15562232500087703
"[20.0, 0.85, 0.3]",116,0.18656969600124285
"[20.0, 0.85, 0.3]",91,0.15901860799931455
"[20.0, 0.85, 0.3]",8936470,0.08992845600005239
"[20.0, 0.85, 0.3]",9809872,0.08931326500169234
"[20.0, 0.95, 0.1]",13,0.1819984440007829
"[20.0, 0.95, 0.1]",40,0.1946199140002136
"[20.0, 0.95, 0.1]",40,0.1960274790035328
"[20.0, 0.95, 0.1]",40,0.18191791199933505
"[20.0, 0.95, 0.1]",71,0.15210151900100755
"[20.0, 0.95, 0.1]",72,0.15060337400063872
"[20.0, 0.95, 0.1]",111,0.17549349299952155
"[20.0, 0.95, 0.1]",91,0.15549770800134866
"[20.0, 0.95, 0.1]",9159023,0.08399342899792828
"[20.0, 0.95, 0.1]",9858674,0.08939506999740843
"[20.0, 0.95, 0.2]",13,0.17877504199714167
"[20.0, 0.95, 0.2]",40,0.17678307500318624
"[20.0, 0.95, 0.2]",40,0.1803461960007553
"[20.0, 0.95, 0.2]",40,0.18324152699642582
"[20.0, 0.95, 0.2]",88,0.15592393700353568
"[20.0, 0.95, 0.2]",71,0.15317858599883039
"[20.0, 0.95, 0.2]",111,0.18310472199664218
"[20.0, 0.95, 0.2]",92,0.15827454999816837
"[20.0, 0.95, 0.2]",9090451,0.10403800899803173
"[20.0, 0.95, 0.2]",9850962,0.12247326299984707
"[20.0, 0.95, 0.3]",13,0.21739077800157247
"[20.0, 0.95, 0.3]",40,0.1804600940013188
"[20.0, 0.95, 0.3]",40,0.1837507789969095
"[20.0, 0.95, 0.3]",40,0.17953571699763415
"[20.0, 0.95, 0.3]",87,0.15945797300082631
"[20.0, 0.95, 0.3]",71,0.15862994000053732
"[20.0, 0.95, 0.3]",111,0.18109086099866545
"[20.0, 0.95, 0.3]",92,0.15856539900414646
"[20.0, 0.95, 0.3]",8878923,0.11575380100111943
"[20.0, 0.95, 0.3]",9778521,0.09372341300331755
"[30.0, 0.75, 0.1]",13,0.2632026289938949
"[30.0, 0.75, 0.1]",40,0.25728815700131236
"[30.0, 0.75, 0.1]",40,0.25625578699691687
"[30.0, 0.75, 0.1]",40,0.279149583002436
"[30.0, 0.75, 0.1]",78,0.23352126700046938
"[30.0, 0.75, 0.1]",70,0.23436982199928025
"[30.0, 0.75, 0.1]",116,0.32416926300356863
"[30.0, 0.75, 0.1]",92,0.2359486090063001
"[30.0, 0.75, 0.1]",9196700,0.1329825390057522
"[30.0, 0.75, 0.1]",9816583,0.1282439089991385
"[30.0, 0.75, 0.2]",13,0.263112310996803
"[30.0, 0.75, 0.2]",40,0.26169648300128756
"[30.0, 0.75, 0.2]",40,0.25945288599905325
"[30.0, 0.75, 0.2]",40,0.28611947799799964
"[30.0, 0.75, 0.2]",86,0.2247710760057089
"[30.0, 0.75, 0.2]",73,0.22454113499406958
"[30.0, 0.75, 0.2]",111,0.2733120120028616
"[30.0, 0.75, 0.2]",92,0.2508624459951534
"[30.0, 0.75, 0.2]",9158450,0.13631962500221562
"[30.0, 0.75, 0.2]",9825628,0.1490840330006904
"[30.0, 0.75, 0.3]",13,0.2813616850035032
"[30.0, 0.75, 0.3]",40,0.2708936420021928
"[30.0, 0.75, 0.3]",40,0.27369344500039006
"[30.0, 0.75, 0.3]",40,0.2693747400044231
"[30.0, 0.75, 0.3]",85,0.2356330650000018
"[30.0, 0.75, 0.3]",77,0.22892504499759525
"[30.0, 0.75, 0.3]",116,0.2708378649986116
"[30.0, 0.75, 0.3]",87,0.23491069699957734
"[30.0, 0.75, 0.3]",9188660,0.14903859100013506
"[30.0, 0.75, 0.3]",9873388,0.1278882549959235
"[30.0, 0.85, 0.1]",13,0.26752918999409303
"[30.0, 0.85, 0.1]",40,0.29639778900309466
"[30.0, 0.85, 0.1]",39,0.2676674269969226
"[30.0, 0.85, 0.1]",40,0.2613964449992636
"[30.0, 0.85, 0.1]",89,0.23085488099604845
"[30.0, 0.85, 0.1]",73,0.23531604999880074
"[30.0, 0.85, 0.1]",111,0.26313183199818013
"[30.0, 0.85, 0.1]",92,0.2315773270020145
"[30.0, 0.85, 0.1]",9117715,0.12715003400080604
"[30.0, 0.85, 0.1]",9801681,0.12979015900054947
"[30.0, 0.85, 0.2]",13,0.28288176000205567
"[30.0, 0.85, 0.2]",40,0.26325896499474766
"[30.0, 0.85, 0.2]",40,0.2721362640004372
"[30.0, 0.85, 0.2]",40,0.28165916899888543
"[30.0, 0.85, 0.2]",80,0.22498994399938965
"[30.0, 0.85, 0.2]",71,0.22597472600318724
"[30.0, 0.85, 0.2]",116,0.2688312109967228
"[30.0, 0.85, 0.2]",95,0.23795230500400066
"[30.0, 0.85, 0.2]",9089048,0.13089332399977138
"[30.0, 0.85, 0.2]",9738271,0.12870566000492545
"[30.0, 0.85, 0.3]",13,0.2733833370002685
"[30.0, 0.85, 0.3]",40,0.266378608001105
"[30.0, 0.85, 0.3]",40,0.279637064995768
"[30.0, 0.85, 0.3]",40,0.27853348300413927
"[30.0, 0.85, 0.3]",86,0.24125811400153907
"[30.0, 0.85, 0.3]",73,0.23695582099753665
"[30.0, 0.85, 0.3]",116,0.27499501800048165
"[30.0, 0.85, 0.3]",90,0.24273616899881745
"[30.0, 0.85, 0.3]",9071835,0.14638320000085514
"[30.0, 0.85, 0.3]",9878709,0.13542871999379713
"[30.0, 0.95, 0.1]",13,0.29359994099650066
"[30.0, 0.95, 0.1]",40,0.2631956879995414
"[30.0, 0.95, 0.1]",40,0.2637029649995384
"[30.0, 0.95, 0.1]",40,0.272781911000493
"[30.0, 0.95, 0.1]",84,0.22352944999875035
"[30.0, 0.95, 0.1]",71,0.22306785600085277
"[30.0, 0.95, 0.1]",116,0.26441264099412365
"[30.0, 0.95, 0.1]",92,0.2420011770009296
"[30.0, 0.95, 0.1]",9157586,0.13196794099349063
"[30.0, 0.95, 0.1]",9784166,0.13024902200413635
"[30.0, 0.95, 0.2]",13,0.2701862190006068
"[30.0, 0.95, 0.2]",40,0.267178630005219
"[30.0, 0.95, 0.2]",40,0.2670090860046912
"[30.0, 0.95, 0.2]",40,0.29866806800419
"[30.0, 0.95, 0.2]",87,0.2488800999999512
"[30.0, 0.95, 0.2]",75,0.23101054100698093
"[30.0, 0.95, 0.2]",111,0.2717151479955646
"[30.0, 0.95, 0.2]",92,0.24192521999793826
"[30.0, 0.95, 0.2]",9158840,0.12976575000357116
"[30.0, 0.95, 0.2]",9842964,0.12985892000142485
"[30.0, 0.95, 0.3]",13,0.2797203999944031
"[30.0, 0.95, 0.3]",40,0.2864574920022278
"[30.0, 0.95, 0.3]",40,0.27377271400473546
"[30.0, 0.95, 0.3]",40,0.27778567299537826
"[30.0, 0.95, 0.3]",86,0.23245463400235167
"[30.0, 0.95, 0.3]",75,0.26061892000143416
"[30.0, 0.95, 0.3]",111,0.2899965249962406
"[30.0, 0.95, 0.3]",92,0.24930430600215914
"[30.0, 0.95, 0.3]",9146174,0.14104333899740595
"[30.0, 0.95, 0.3]",9669187,0.14245413200114854
