hp,value,time
"[2.0, 50.0]",11,0.002572254976257682
"[2.0, 50.0]",41,0.007860150071792305
"[2.0, 50.0]",42,0.008096514968201518
"[2.0, 50.0]",83,0.02719313302077353
"[2.0, 50.0]",113,0.007645630044862628
"[2.0, 50.0]",115,0.007604080950841308
"[2.0, 50.0]",108,0.0018688389100134373
"[2.0, 50.0]",127,0.01933525293134153
"[2.0, 50.0]",11382018,123.47561105899513
"[2.0, 50.0]",33119834,120.00003355101217
"[2.0, 100.0]",11,0.004542679060250521
"[2.0, 100.0]",41,0.015463770017959177
"[2.0, 100.0]",42,0.016453514923341572
"[2.0, 100.0]",83,0.052984197973273695
"[2.0, 100.0]",113,0.015140027971938252
"[2.0, 100.0]",115,0.01527233305387199
"[2.0, 100.0]",108,0.0034301429986953735
"[2.0, 100.0]",127,0.03732128499541432
"[2.0, 100.0]",11382615,121.6611517840065
"[2.0, 100.0]",33117780,120.00006680097431
"[2.0, 200.0]",11,0.009123969008214772
"[2.0, 200.0]",41,0.03180013399105519
"[2.0, 200.0]",42,0.033309357007965446
"[2.0, 200.0]",83,0.10502505407202989
"[2.0, 200.0]",113,0.031104782014153898
"[2.0, 200.0]",115,0.03058394289109856
"[2.0, 200.0]",108,0.007350218016654253
"[2.0, 200.0]",127,0.07391034392639995
"[2.0, 200.0]",11380551,122.75113156402949
"[2.0, 200.0]",33115905,120.00007034104783
"[2.0, 350.0]",11,0.016516987001523376
"[2.0, 350.0]",41,0.05552322999574244
"[2.0, 350.0]",42,0.05741043097805232
"[2.0, 350.0]",83,0.18314957397524267
"[2.0, 350.0]",113,0.05319089500699192
"[2.0, 350.0]",115,0.052807428990490735
"[2.0, 350.0]",108,0.01274045801255852
"[2.0, 350.0]",127,0.13003207999281585
"[2.0, 350.0]",11382766,120.41679215303157
"[2.0, 350.0]",33116664,120.00005462195259
"[2.0, 500.0]",11,0.02418350102379918
"[2.0, 500.0]",41,0.07874346303287894
"[2.0, 500.0]",42,0.08128305501304567
"[2.0, 500.0]",83,0.25975587603170425
"[2.0, 500.0]",113,0.07623347104527056
"[2.0, 500.0]",115,0.07646309491246939
"[2.0, 500.0]",108,0.017500262008979917
"[2.0, 500.0]",127,0.18406122492160648
"[2.0, 500.0]",11382497,123.42134476895444
"[2.0, 500.0]",33118005,120.00003716303036
"[5.0, 50.0]",11,0.002508884994313121
"[5.0, 50.0]",42,0.009801174979656935
"[5.0, 50.0]",42,0.011230678064748645
"[5.0, 50.0]",86,0.03407900303136557
"[5.0, 50.0]",113,0.011873349896632135
"[5.0, 50.0]",115,0.011589628993533552
"[5.0, 50.0]",108,0.00197850598488003
"[5.0, 50.0]",127,0.02465728099923581
"[5.0, 50.0]",10832582,120.00003679504152
"[5.0, 50.0]",32989456,120.00004276796244
"[5.0, 100.0]",11,0.0051189890364184976
"[5.0, 100.0]",42,0.01854757801629603
"[5.0, 100.0]",42,0.022985563962720335
"[5.0, 100.0]",84,0.06831519305706024
"[5.0, 100.0]",113,0.022105601034127176
"[5.0, 100.0]",115,0.020954151987098157
"[5.0, 100.0]",108,0.004117049043998122
"[5.0, 100.0]",127,0.04939393908716738
"[5.0, 100.0]",10832949,120.00003016798291
"[5.0, 100.0]",32990654,120.00003148603719
"[5.0, 200.0]",11,0.010182101046666503
"[5.0, 200.0]",42,0.038381477002985775
"[5.0, 200.0]",42,0.04520518705248833
"[5.0, 200.0]",86,0.13267720502335578
"[5.0, 200.0]",113,0.043312869034707546
"[5.0, 200.0]",115,0.04120705893728882
"[5.0, 200.0]",108,0.007990996004082263
"[5.0, 200.0]",127,0.09859405306633562
"[5.0, 200.0]",10831911,120.57345826702658
"[5.0, 200.0]",32989257,120.00006660202052
"[5.0, 350.0]",11,0.017313499934971333
"[5.0, 350.0]",42,0.06678744801320136
"[5.0, 350.0]",42,0.07768411899451166
"[5.0, 350.0]",86,0.2358720840420574
"[5.0, 350.0]",113,0.07450395601335913
"[5.0, 350.0]",115,0.07726227305829525
"[5.0, 350.0]",108,0.014147449051961303
"[5.0, 350.0]",127,0.17560491396579891
"[5.0, 350.0]",10831352,120.0000531040132
"[5.0, 350.0]",32990915,123.73269585205708
"[5.0, 500.0]",11,0.025447478983551264
"[5.0, 500.0]",42,0.09567258099559695
"[5.0, 500.0]",42,0.110868836985901
"[5.0, 500.0]",87,0.33166065299883485
"[5.0, 500.0]",113,0.11118731508031487
"[5.0, 500.0]",115,0.10895309806801379
"[5.0, 500.0]",108,0.020108822965994477
"[5.0, 500.0]",127,0.24087966710794717
"[5.0, 500.0]",10832373,120.00004845601507
"[5.0, 500.0]",32991849,120.00004079693463
"[10.0, 50.0]",11,0.002523267990909517
"[10.0, 50.0]",42,0.009404692915268242
"[10.0, 50.0]",42,0.013739066082052886
"[10.0, 50.0]",83,0.03799233795143664
"[10.0, 50.0]",112,0.013166518998332322
"[10.0, 50.0]",114,0.012611332000233233
"[10.0, 50.0]",108,0.0018633439904078841
"[10.0, 50.0]",127,0.03498592309188098
"[10.0, 50.0]",10715837,120.0001058599446
"[10.0, 50.0]",0,120.0000866180053
"[10.0, 100.0]",11,0.004775756038725376
"[10.0, 100.0]",42,0.01878853002563119
"[10.0, 100.0]",42,0.027630857075564563
