hp,value,time
"[500.0, 0.95, 350.0]",13,0.992226148955524
"[500.0, 0.95, 350.0]",43,1.2950769449817017
"[500.0, 0.95, 350.0]",45,2.5342381790978834
"[500.0, 0.95, 350.0]",116,1.9478936680825427
"[500.0, 0.95, 350.0]",118,2.851354507030919
"[500.0, 0.95, 350.0]",116,2.5247836500639096
"[500.0, 0.95, 350.0]",116,0.9394898440223187
"[500.0, 0.95, 350.0]",129,5.905486295931041
"[500.0, 0.95, 350.0]",279156,7.399811138981022
"[500.0, 0.95, 350.0]",201053,5.104100498952903
"[500.0, 0.95, 500.0]",13,1.479713998036459
"[500.0, 0.95, 500.0]",42,1.9283826500177383
"[500.0, 0.95, 500.0]",46,3.409291710006073
"[500.0, 0.95, 500.0]",116,2.9611891369568184
"[500.0, 0.95, 500.0]",118,3.994854941032827
"[500.0, 0.95, 500.0]",116,3.77166968700476
"[500.0, 0.95, 500.0]",116,1.278137071058154
"[500.0, 0.95, 500.0]",129,8.304374695988372
"[500.0, 0.95, 500.0]",397615,10.559054172947071
"[500.0, 0.95, 500.0]",287331,7.285781450103968
"[500.0, 0.85, 350.0]",13,0.3153834390686825
"[500.0, 0.85, 350.0]",42,0.45010868995450437
"[500.0, 0.85, 350.0]",44,0.744129701051861
"[500.0, 0.85, 350.0]",116,0.7143720579333603
"[500.0, 0.85, 350.0]",118,0.8464063719147816
"[500.0, 0.85, 350.0]",115,0.9045615789946169
"[500.0, 0.85, 350.0]",116,0.29414345894474536
"[500.0, 0.85, 350.0]",128,1.925183104001917
"[500.0, 0.85, 350.0]",87838,2.3120649360353127
"[500.0, 0.85, 350.0]",62687,1.5961284849327058
"[500.0, 0.85, 500.0]",13,0.4308738459367305
"[500.0, 0.85, 500.0]",42,0.5842344210250303
"[500.0, 0.85, 500.0]",46,1.04265648603905
"[500.0, 0.85, 500.0]",116,0.9291206860216334
"[500.0, 0.85, 500.0]",115,1.2671566510107368
"[500.0, 0.85, 500.0]",116,1.2011876360047609
"[500.0, 0.85, 500.0]",116,0.40267978399060667
"[500.0, 0.85, 500.0]",132,2.6941906140418723
"[500.0, 0.85, 500.0]",126934,3.324394191033207
"[500.0, 0.85, 500.0]",91016,2.3048958219587803
"[500.0, 0.7, 350.0]",13,0.1554258419200778
"[500.0, 0.7, 350.0]",42,0.17143013305030763
"[500.0, 0.7, 350.0]",46,0.3231761829229072
"[500.0, 0.7, 350.0]",116,0.3361409349599853
"[500.0, 0.7, 350.0]",118,0.384089499944821
"[500.0, 0.7, 350.0]",113,0.3770248530199751
"[500.0, 0.7, 350.0]",116,0.14991710800677538
"[500.0, 0.7, 350.0]",133,0.868417042074725
"[500.0, 0.7, 350.0]",40703,1.0615964049939066
"[500.0, 0.7, 350.0]",28788,0.7324054519413039
"[500.0, 0.7, 500.0]",13,0.18541842594277114
"[500.0, 0.7, 500.0]",42,0.2649859229568392
"[500.0, 0.7, 500.0]",46,0.5002799209905788
"[500.0, 0.7, 500.0]",116,0.4506102789891884
"[500.0, 0.7, 500.0]",118,0.5416279280325398
"[500.0, 0.7, 500.0]",115,0.5940750821027905
"[500.0, 0.7, 500.0]",116,0.17201340990141034
"[500.0, 0.7, 500.0]",128,1.238401873037219
"[500.0, 0.7, 500.0]",60341,1.512813095934689
"[500.0, 0.7, 500.0]",40221,1.0498834850732237
"[100.0, 0.95, 350.0]",13,0.8968530169222504
"[100.0, 0.95, 350.0]",43,1.146504512988031
"[100.0, 0.95, 350.0]",45,2.0406155879609287
"[100.0, 0.95, 350.0]",116,1.7194702370325103
"[100.0, 0.95, 350.0]",118,2.4560053350869566
"[100.0, 0.95, 350.0]",116,2.1758739249780774
"[100.0, 0.95, 350.0]",116,0.7992916810326278
"[100.0, 0.95, 350.0]",128,5.162374850013293
"[100.0, 0.95, 350.0]",247568,6.486185179906897
"[100.0, 0.95, 350.0]",180443,4.482127796974964
"[100.0, 0.95, 500.0]",13,1.2974758610362187
"[100.0, 0.95, 500.0]",42,1.776459009037353
"[100.0, 0.95, 500.0]",46,2.9735941590042785
"[100.0, 0.95, 500.0]",116,2.559935811907053
"[100.0, 0.95, 500.0]",118,3.487584820948541
"[100.0, 0.95, 500.0]",116,3.190449789050035
"[100.0, 0.95, 500.0]",116,1.1167036700062454
"[100.0, 0.95, 500.0]",134,7.104252360993996
"[100.0, 0.95, 500.0]",357781,9.266891382983886
"[100.0, 0.95, 500.0]",256467,6.383682999061421
"[100.0, 0.85, 350.0]",13,0.2733321359846741
"[100.0, 0.85, 350.0]",42,0.36532001104205847
"[100.0, 0.85, 350.0]",46,0.652168344007805
"[100.0, 0.85, 350.0]",116,0.5816467690747231
"[100.0, 0.85, 350.0]",118,0.742526832036674
"[100.0, 0.85, 350.0]",115,0.7439863909967244
"[100.0, 0.85, 350.0]",116,0.2553006790112704
"[100.0, 0.85, 350.0]",128,1.7220794319873676
"[100.0, 0.85, 350.0]",79858,2.039460903033614
"[100.0, 0.85, 350.0]",57026,1.4084213910391554
"[100.0, 0.85, 500.0]",13,0.38088468997739255
"[100.0, 0.85, 500.0]",42,0.5464914900949225
"[100.0, 0.85, 500.0]",46,0.9342516640899703
"[100.0, 0.85, 500.0]",116,0.8330387480091304
"[100.0, 0.85, 500.0]",118,1.0615148660726845
"[100.0, 0.85, 500.0]",114,1.0845466390019283
"[100.0, 0.85, 500.0]",116,0.35602536995429546
"[100.0, 0.85, 500.0]",128,2.1599109419621527
"[100.0, 0.85, 500.0]",114236,2.9175822898978367
"[100.0, 0.85, 500.0]",81467,2.015082355006598
"[100.0, 0.7, 350.0]",13,0.1162412780104205
"[100.0, 0.7, 350.0]",42,0.1702949299942702
"[100.0, 0.7, 350.0]",46,0.2920766619499773
"[100.0, 0.7, 350.0]",86,0.34128803794737905
"[100.0, 0.7, 350.0]",114,0.34107571095228195
"[100.0, 0.7, 350.0]",115,0.34573909896425903
"[100.0, 0.7, 350.0]",116,0.10832185193430632
"[100.0, 0.7, 350.0]",126,0.7931778139900416
"[100.0, 0.7, 350.0]",36377,0.9459615310188383
"[100.0, 0.7, 350.0]",25920,0.6537862649420276
"[100.0, 0.7, 500.0]",13,0.16424068808555603
"[100.0, 0.7, 500.0]",43,0.23414402292110026
"[100.0, 0.7, 500.0]",45,0.46091685199644417
"[100.0, 0.7, 500.0]",116,0.36961289995815605
"[100.0, 0.7, 500.0]",118,0.5217314719920978
"[100.0, 0.7, 500.0]",114,0.4978223390644416
"[100.0, 0.7, 500.0]",116,0.15337768208701164
"[100.0, 0.7, 500.0]",127,1.1107437640894204
"[100.0, 0.7, 500.0]",54398,1.3488694510888308
"[100.0, 0.7, 500.0]",36962,0.936826114077121
"[50.0, 0.95, 350.0]",13,0.7988025310914963
"[50.0, 0.95, 350.0]",43,1.0579187469556928
"[50.0, 0.95, 350.0]",45,1.8623529989272356
"[50.0, 0.95, 350.0]",116,1.727819411084056
"[50.0, 0.95, 350.0]",118,2.1872418629936874
"[50.0, 0.95, 350.0]",116,2.021690430934541
"[50.0, 0.95, 350.0]",116,0.7454238990321755
"[50.0, 0.95, 350.0]",127,4.785770472954027
"[50.0, 0.95, 350.0]",235211,6.076916201040149
"[50.0, 0.95, 350.0]",172283,4.207608937984332
"[50.0, 0.95, 500.0]",13,1.1702356269815937
"[50.0, 0.95, 500.0]",42,1.6548301419243217
"[50.0, 0.95, 500.0]",46,2.7317175529897213
"[50.0, 0.95, 500.0]",116,2.313232235959731
"[50.0, 0.95, 500.0]",118,3.2787931009661406
"[50.0, 0.95, 500.0]",116,2.9534266949631274
"[50.0, 0.95, 500.0]",116,1.082912310026586
"[50.0, 0.95, 500.0]",134,6.8053356079617515
"[50.0, 0.95, 500.0]",340660,8.679169042035937
"[50.0, 0.95, 500.0]",242959,6.008796903071925
"[50.0, 0.85, 350.0]",13,0.23138529004063457
"[50.0, 0.85, 350.0]",43,0.3250493570230901
"[50.0, 0.85, 350.0]",44,0.6066474110120907
"[50.0, 0.85, 350.0]",116,0.5794731680070981
"[50.0, 0.85, 350.0]",118,0.6896133259870112
"[50.0, 0.85, 350.0]",116,0.62638288596645
"[50.0, 0.85, 350.0]",116,0.2146172400098294
"[50.0, 0.85, 350.0]",134,1.4760592840611935
"[50.0, 0.85, 350.0]",76650,1.9148569429526106
"[50.0, 0.85, 350.0]",54720,1.3283359810011461
"[50.0, 0.85, 500.0]",13,0.357601561001502
"[50.0, 0.85, 500.0]",42,0.5162101349560544
"[50.0, 0.85, 500.0]",46,0.8351572609972209
"[50.0, 0.85, 500.0]",116,0.8271106750471517
"[50.0, 0.85, 500.0]",118,1.014057758031413
"[50.0, 0.85, 500.0]",116,0.8947427059756592
"[50.0, 0.85, 500.0]",116,0.33379537507425994
"[50.0, 0.85, 500.0]",128,2.300599395064637
"[50.0, 0.85, 500.0]",107429,2.743284747004509
"[50.0, 0.85, 500.0]",76508,1.9059696510666981
"[50.0, 0.7, 350.0]",13,0.108761141076684
"[50.0, 0.7, 350.0]",42,0.1355491840513423
"[50.0, 0.7, 350.0]",45,0.28891126008238643
"[50.0, 0.7, 350.0]",81,0.3224670570343733
"[50.0, 0.7, 350.0]",118,0.32785365695599467
"[50.0, 0.7, 350.0]",116,0.2681968359975144
"[50.0, 0.7, 350.0]",116,0.13323101599235088
"[50.0, 0.7, 350.0]",129,0.6342334400396794
"[50.0, 0.7, 350.0]",34568,0.8892341970931739
"[50.0, 0.7, 350.0]",25265,0.6156821210170165
"[50.0, 0.7, 500.0]",13,0.1805461540352553
"[50.0, 0.7, 500.0]",42,0.20383648306597024
"[50.0, 0.7, 500.0]",46,0.4205121089471504
"[50.0, 0.7, 500.0]",116,0.3598754870472476
"[50.0, 0.7, 500.0]",115,0.49781662900932133
"[50.0, 0.7, 500.0]",114,0.46805624396074563
"[50.0, 0.7, 500.0]",116,0.14415143092628568
"[50.0, 0.7, 500.0]",129,1.0428636349970475
"[50.0, 0.7, 500.0]",48526,1.266672336962074
"[50.0, 0.7, 500.0]",34028,0.8723264039726928
