hp,value,time
[10.0],13,0.0004508410347625613
[10.0],42,0.0067173209972679615
[10.0],46,0.0023161820136010647
[10.0],59,0.011333307018503547
[10.0],118,0.14103413897100836
[10.0],115,0.14010296296328306
[10.0],116,0.00035553902853280306
[10.0],135,0.0033525259932503104
[10.0],10886756,33.73827142303344
[10.0],28734330,120.00004624098074
[25.0],13,0.0004418750759214163
[25.0],43,120.00006093201227
[25.0],46,3.8858933600131422
[25.0],80,74.03709158999845
[25.0],118,120.00003840902355
[25.0],115,120.00004213000648
[25.0],116,0.0003134380094707012
[25.0],135,6.311271085985936
[25.0],10886765,63.376976100960746
[25.0],25979895,120.00006167206448
[50.0],13,0.0005396029446274042
[50.0],43,120.00003065005876
[50.0],46,120.00003095797729
[50.0],80,120.00005542801227
[50.0],118,120.00002961792052
[50.0],115,120.00005789101124
[50.0],116,0.00029444799292832613
[50.0],135,120.00004080496728
[50.0],10886765,120.00004851899575
[50.0],22377090,120.00008019094821
[100.0],13,0.00044266798067837954
[100.0],43,120.00003943103366
[100.0],46,120.00003718398511
[100.0],80,120.0000307719456
[100.0],118,120.000053692027
[100.0],115,120.00003075099085
[100.0],116,0.0002945649903267622
[100.0],135,120.00008010002784
[100.0],10886765,120.00003543507773
[100.0],17637675,120.00015423807781
